text,category
"You can now take testosterone tests with a stick, your phone, and some spit. At last year's CES, Eli Health announced the Hormometer - an at-home hormone test for cortisol that utilized saliva and a smartphone. For this year's show, the company is back and expanding into testosterone and progesterone. Eli Health isn't changing up how …",Technology
"OpenAI will focus on 'practical adoption' of AI in 2026, CFO says. OpenAI CFO Sarah Friar said the company is focused on ""practical adoption"" in 2026, especially in health, science, and enterprise.",Technology
"Sony’s TV business is being taken over by TCL. Sony has announced plans to spin off its TV hardware business, shifting it to a new joint venture with TCL. The two companies have signed a non-binding agreement for Sony's home entertainment business, with TCL set to hold a 51 percent stake in the new ventur…",Business
What happens in space during a medical emergency?. BBC science correspondent Pallab Ghosh explains what happens if an astronaut gets ill in space.,Science
"Timekettle Reveals a Major Upgrade to Its Real-Time, In-Ear AI Translation Technology at CES 2026. The Babel fish real-time translator is becoming a reality.",Technology
"Deepfake ‘Nudify’ Technology Is Getting Darker—and More Dangerous. Sexual deepfakes continue to get more sophisticated, capable, easy to access, and perilous for millions of women who are abused with the technology.",Technology
"OpenAI’s 2026 ‘focus’ is ‘practical adoption’. OpenAI plans to focus on ""practical adoption"" of AI in 2026, according to a blog post from CFO Sarah Friar. As the company spends a huge amount of money on infrastructure, OpenAI is working on ""closing the gap"" on what AI can do and how people actually use it…",Technology
"A New Bridge Links the Strange Math of Infinity to Computer Science. Descriptive set theorists study the niche mathematics of infinity. Now, they’ve shown that their problems can be rewritten in the concrete language of algorithms.",Science
"OpenAI Launches ChatGPT Health, Wants Access to Your Medical Records. OpenAI's biggest play into the burgeoning health AI market is here.",Health
"Fujifilm X-E5 Mirrorless Camera Review: Compact Color Science in a Retro Package. Did you want the TikTok-popular X100VI, but with an interchangeable lens? The Fujifilm X-E5 has you covered.",Technology
"Gear News of the Week: Apple’s AI Wearable and a Phone That Can Boot Android, Linux, and Windows. Plus: Asus exits the smartphone market, and Sony partners with TCL on TVs.",Technology
"OpenAI launches ChatGPT Health, encouraging users to connect their medical records. OpenAI has been dropping hints this week about AI's role as a ""healthcare ally"" - and today, the company is announcing a product to go along with that idea: ChatGPT Health. ChatGPT Health is a sandboxed tab within ChatGPT that's designed for users to ask thei…",Health
"Florida’s Surgeon General Is Now Peddling Fake Water. In a recent social media post, Joseph Ladapo endorsed the use of structured water, which doesn't actually seem to exist.",Health
"Experian’s tech chief defends credit scores: ‘We’re not Palantir’. Today, I’m talking with Alex Lintner, who is the CEO of technology and software solutions at Experian, the credit reporting company. Experian is one of those multinationals that’s so big and convoluted that it has multiple CEOs all over the world, so Alex and…",Business
Iran protests: hundreds feared dead. Hospital staff in Iran say they are overwhelmed with dead or injured patients,Other
"Updates From ‘Avengers: Doomsday’, and More. Plus, Joseph Kosinski teases the 'science fact' of his new UFO movie.",Other
"Samsung and Intel’s OLED tech makes HDR easier on laptop battery life. Samsung Display and Intel have teamed up on laptop technology called SmartPower HDR that they claim can minimize power usage while you're watching HDR content on an OLED screen. Intel showed off this technology last year, but Samsung Display is sharing detail…",Technology
The Merach Vibration Plate Is the Funniest Workout I've Ever Done. It turns out that this TikTok-viral vibration plate may have some surprising health benefits.,Health
"The US claims it just strongarmed Taiwan into spending $250 billion on American chip manufacturing. The US just lowered Taiwan's tariffs in exchange for a massive domestic chipmaking promise, the Commerce Department announced on Thursday. Under the deal, tariffs on goods from Taiwan will decrease from 20 to 15 percent, while Taiwanese technology companies w…",Business
"Apple’s second biggest acquisition ever is an AI company that listens to ‘silent speech’. Apple's biggest acquisition ever is still its $3 billion Beats buy in 2014, but now the second biggest deal is bringing in Q.ai, a four-year-old AI audio startup. Apple did not disclose the terms, but Financial Times reports that Apple is spending $2 billion …",Business
"The crypto bill is falling apart in Congress. Hello and welcome to Regulator, the Verge newsletter about the technology politics happening in our nation's capital. I hope our snowstorm-affected readers are safe, warm, and haven't reenacted The Shining at home yet. Do you know what prevents that? Subscrib…",Technology
I Tested Popular Functional Coffee Add-Ins for a Week Each (2026). Our reviewer optimized his morning cup of coffee with creamer substitutes that promise health benefits and mental clarity.,Health
"How Mormons Helped Make America’s Prepping Industry Into Big Business. How two big names in mainstream disaster preparedness helped sell Americans on fear, anxiety and a new generator.",Business
"The Race to Build the DeepSeek of Europe Is On. As Europe’s longstanding alliance with the US falters, its push to become a self-sufficient AI superpower has become more urgent.",Technology
The Artemis 2 Astronauts Will Observe Parts of the Moon Humans Have Never Laid Eyes On. NASA’s Artemis 2 mission is no mere test flight. The crew will partake in some seriously mind-blowing science during their 10-day trip around the Moon.,Science
"Despair-Inducing Analysis Shows AI Eroding the Reliability of Science Publishing. A flood of slop has arrived in science, and everyone has to get less lazy. But does 2026 feel like a time when anyone, anywhere, is getting less lazy?",Science
Will 2026 Be the Year That the AI Industry Stops Crowing About ‘AGI’?. Surely it's not because AGI is simply unachievable with the current technology.,Technology
OpenAI Invests in Sam Altman’s New Brain Tech Startup Merge Labs. Merge Labs has emerged from stealth with $252 million in funding from OpenAI and others. It aims to use ultrasound to read from and write to the brain.,Technology
"Public domain 2026: Betty Boop, Pluto, and Nancy Drew set free. Some years ago, I was writing a science fiction short story in which I wanted to incorporate verses from a 1928 song, ""Button Up Your Overcoat."" However, when I sold the story, my editor told me that since the song was still copyrighted, it was safer not to i…",Other
"The first privately funded space-based telescope is in the works. Former Google CEO Eric Schmidt and his wife Wendy could help make history with a new project unveiled on Wednesday, the Lazuli Space Observatory. As reported by Science, the telescope was announced at a meeting of the American Astronomical Society this week, …",Science
"This soft humanoid robot is designed to be ‘physically safe and socially approachable’. A startup called Fauna Robotics has revealed a new humanoid robot called Sprout it's been developing over the past two years. Standing around 3.5-feet tall, Sprout's design, featuring a soft padded exterior, a wide head, and expressive mechanical eyebrows, wa…",Technology
"Grok’s Sexual Deepfakes Will Become Illegal in the UK This Week. ""The content which has circulated on X is vile,"" the UK technology secretary Liz Kendall said Monday.",Technology
FYI: These Are the Asteroids You Should Mine. Scientists have analyzed a collection of meteorites to figure out where asteroid prospectors should go first.,Science
"Motorola’s first smartwatch promises 13-day battery life and Polar-powered health tracking. At CES, Motorola announced its first smartwatch, the Moto Watch. According to Motorola, the Android watch offers up to 13 days of battery life, alongside Polar-powered health tracking, open-source software, and dual-frequency GPS - a combination that helps se…",Technology
"Self-driving truck startup Waabi is teaming up with Uber on robotaxis. Waabi, the Toronto-based autonomous trucking startup, is expanding its portfolio to include robotaxis. And it's bringing Uber along for the ride. Raquel Urtasun, the former chief scientist at Uber's now defunct Advanced Technologies Group, founded Waabi in 20…",Technology
"Badenoch apologises for Braverman mental health claim. But she branded defectors from the Conservative party ""drama queens"", saying people who did not agree with the direction she was taking the party ""need to get out the way"".",Other
Elon Musk said automakers don't want to license Tesla FSD. We're starting to see why.. Legacy automakers and Tesla rival Rivian have recently announced roadmaps to pursue autonomous driving technology in-house.,Technology
"Company owned by President Trump surprises observers with unexpected partnership: 'To guarantee America's dominance'. ""We have the science solved.""",Business
"James Cameron says he left the US and moved to New Zealand for his 'sanity'. Granted New Zealand citizenship last year, James Cameron says part of the country's appeal is that it 'believes in science.'",Other
